0,1,2,3,4,5
Seongdong-gu,2023-01-15,3338,Gwangjin-gu,2023-04-28,6430.0
Yongsan-gu,2023-01-15,614,Mapo-gu,2023-04-28,1384.0
Seocho-gu,2023-01-15,32668,Eunpyeong-gu,2023-04-28,2472.0
Seodaemun-gu,2023-01-15,4392,Yongsan-gu,2023-04-28,226.0
Jungnang-gu,2023-01-15,42651,Seongdong-gu,2023-04-28,1963.0
Gangnam-gu,2023-01-15,95619,Gangbuk-gu,2023-04-28,1984.0
Seoul_Grand_Park,2023-01-15,15440,Jongno-gu,2023-04-28,3160.0
Nowon-gu,2023-01-15,49908,Seocho-gu,2023-04-28,26032.0
Gwangjin-gu,2023-01-15,72301,Gangnam-gu,2023-04-28,19259.0
Eunpyeong-gu,2023-01-15,3443,Gangseo-gu,2023-04-28,4470.0
Guro-gu,2023-01-15,121496,Jung-gu,2023-04-28,22505.0
Geumcheon-gu,2023-01-15,83069,Songpa-gu,2023-04-29,895.0
Dobong-gu,2023-01-15,112657,Yangcheon-gu,2023-04-29,2218.0
Songpa-gu,2023-01-15,25199,Gwanak-gu,2023-04-29,2961.0
Gangseo-gu,2023-01-15,45276,Seongdong-gu,2023-04-29,2876.0
Gwanak-gu,2023-01-15,32191,Gangnam-gu,2023-04-29,20045.0
Gangnam-gu,2023-01-16,120680,Seoul_Grand_Park,2023-04-29,5991.0
Seongdong-gu,2023-01-16,1982,Jung-gu,2023-04-29,33912.0
